dt,beta,g,tau,trial,theta,initMacro,initCoral,lgMacro,lgCoral
1e-05,0.1,0.15,0.5,26,0.0747998,0.0598322,0.00448381,0.792255,0.00339002
1e-05,0.1,0.15,0.5,27,0.0747998,0.0598322,0.00448381,0.772438,0.00560247
1e-05,0.1,0.15,0.5,28,0.0747998,0.0598322,0.00448381,0.788458,0.00595331
1e-05,0.1,0.15,0.5,29,0.0747998,0.0598322,0.00448381,0.790498,0.00725563
1e-05,0.1,0.15,0.5,30,0.0747998,0.0598322,0.00448381,0.770576,0.00605681
1e-05,0.1,0.15,0.5,31,0.0747998,0.0598322,0.00448381,0.801853,0.00580004
1e-05,0.1,0.15,0.5,32,0.0747998,0.0598322,0.00448381,0.780215,0.00496601
1e-05,0.1,0.15,0.5,33,0.0747998,0.0598322,0.00448381,0.797159,0.0052359
1e-05,0.1,0.15,0.5,34,0.0747998,0.0598322,0.00448381,0.814665,0.00411892
1e-05,0.1,0.15,0.5,35,0.0747998,0.0598322,0.00448381,0.79064,0.00769943
1e-05,0.1,0.15,0.5,36,0.0747998,0.0598322,0.00448381,0.797714,0.00437872
1e-05,0.1,0.15,0.5,37,0.0747998,0.0598322,0.00448381,0.782161,0.00456493
1e-05,0.1,0.15,0.5,38,0.0747998,0.0598322,0.00448381,0.804785,0.00507043
1e-05,0.1,0.15,0.5,39,0.0747998,0.0598322,0.00448381,0.817873,0.00516009
1e-05,0.1,0.15,0.5,40,0.0747998,0.0598322,0.00448381,0.7917,0.00459368
1e-05,0.1,0.15,0.5,41,0.0747998,0.0598322,0.00448381,0.773408,0.00261622
1e-05,0.1,0.15,0.5,42,0.0747998,0.0598322,0.00448381,0.784948,0.00524455
1e-05,0.1,0.15,0.5,43,0.0747998,0.0598322,0.00448381,0.77978,0.0049303
1e-05,0.1,0.15,0.5,44,0.0747998,0.0598322,0.00448381,0.83063,0.00375058
1e-05,0.1,0.15,0.5,45,0.0747998,0.0598322,0.00448381,0.788877,0.00431761
1e-05,0.1,0.15,0.5,46,0.0747998,0.0598322,0.00448381,0.789105,0.00390441
1e-05,0.1,0.15,0.5,47,0.0747998,0.0598322,0.00448381,0.801343,0.00387316
1e-05,0.1,0.15,0.5,48,0.0747998,0.0598322,0.00448381,0.794168,0.0059294
1e-05,0.1,0.15,0.5,49,0.0747998,0.0598322,0.00448381,0.795293,0.00328596
1e-05,0.1,0.15,0.5,50,0.0747998,0.0598322,0.00448381,0.813012,0.00430605
1e-05,0.1,0.15,0.5,51,0.0747998,0.0598322,0.00448381,0.798434,0.00411736
1e-05,0.1,0.15,0.5,52,0.0747998,0.0598322,0.00448381,0.767927,0.00635556
1e-05,0.1,0.15,0.5,53,0.0747998,0.0598322,0.00448381,0.809553,0.00394247
1e-05,0.1,0.15,0.5,54,0.0747998,0.0598322,0.00448381,0.799087,0.00465836
1e-05,0.1,0.15,0.5,55,0.0747998,0.0598322,0.00448381,0.811962,0.00582767
1e-05,0.1,0.15,0.5,56,0.0747998,0.0598322,0.00448381,0.750045,0.00696459
1e-05,0.1,0.15,0.5,57,0.0747998,0.0598322,0.00448381,0.812383,0.00396165
1e-05,0.1,0.15,0.5,58,0.0747998,0.0598322,0.00448381,0.77589,0.00573629
1e-05,0.1,0.15,0.5,59,0.0747998,0.0598322,0.00448381,0.779619,0.00478679
