dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,220,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,221,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,222,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,223,0.282636,0.249101,0.468264,0.516216,0.000015,0.483769,0.582803,0.000026,0.417171
0.000100,0.100000,0.300000,0.500000,224,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,225,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.602761,0.033936,0.363303
0.000100,0.100000,0.300000,0.500000,226,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.634695,0.004587,0.360718
0.000100,0.100000,0.300000,0.500000,227,0.282636,0.249101,0.468264,0.586774,0.000189,0.413037,0.613433,0.000068,0.386499
0.000100,0.100000,0.300000,0.500000,228,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,229,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,230,0.282636,0.249101,0.468264,0.577838,0.000313,0.421849,0.609753,0.000106,0.390141
0.000100,0.100000,0.300000,0.500000,231,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000002,0.559994,0.440005
0.000100,0.100000,0.300000,0.500000,232,0.282636,0.249101,0.468264,0.549018,0.000068,0.450914,0.597738,0.000046,0.402216
0.000100,0.100000,0.300000,0.500000,233,0.282636,0.249101,0.468264,0.645545,0.000083,0.354372,0.635672,0.000058,0.364270
0.000100,0.100000,0.300000,0.500000,234,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,235,0.282636,0.249101,0.468264,0.557372,0.000004,0.442624,0.601260,0.000011,0.398729
