dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.2,0.2,0.5,33,0.0981748,0.122259,0.43358,0.444161,1.54231e-05,0.559985
1e-05,0.2,0.2,0.5,35,0.0981748,1.78605e-05,0.559986,0.439996,0.520221,0.00188874
1e-05,0.2,0.2,0.5,36,0.0981748,0.0597111,0.00588103,0.934408,0.572478,0.00184675
1e-05,0.2,0.2,0.5,37,0.0981748,0.520126,0.00189027,0.477984,0.635568,5.1546e-06
1e-05,0.2,0.2,0.5,38,0.0981748,0.519673,0.00189027,0.478437,0.681434,4.57009e-06
1e-05,0.2,0.2,0.5,40,0.0981748,0.635105,4.97236e-06,0.36489,0.696761,7.36071e-10
1e-05,0.2,0.2,0.5,39,0.0981748,0.634677,4.97236e-06,0.365318,0.783491,4.66143e-10
1e-05,0.2,0.2,0.5,41,0.0981748,0.75916,5.41243e-10,0.24084,0.785189,6.31927e-11
1e-05,0.2,0.2,0.5,42,0.0981748,0.759338,5.41243e-10,0.240662,0.779173,5.62219e-11
1e-05,0.2,0.2,0.5,44,0.0981748,0.776296,6.70792e-11,0.223704,0.493938,5.94808e-12
1e-05,0.2,0.2,0.5,43,0.0981748,0.776708,6.70792e-11,0.223292,0.554999,5.90535e-12
1e-05,0.2,0.2,0.5,46,0.0981748,0.528125,5.94711e-12,0.471875,0.834557,5.55772e-15
1e-05,0.2,0.2,0.5,45,0.0981748,0.5285,5.94711e-12,0.4715,0.814766,5.09267e-15
1e-05,0.2,0.2,0.5,48,0.0981748,0.823362,6.06605e-15,0.176638,0.00707916,0.553987
1e-05,0.2,0.2,0.5,47,0.0981748,0.823517,6.06605e-15,0.176483,0.00724368,0.553786
1e-05,0.2,0.2,0.5,50,0.0981748,0.00651011,0.554265,0.439225,0.195275,0.190679
1e-05,0.2,0.2,0.5,49,0.0981748,0.00650482,0.554265,0.43923,0.202465,0.19208
1e-05,0.2,0.2,0.5,51,0.0981748,0.194374,0.178638,0.626988,0.67254,0.00754811
1e-05,0.2,0.2,0.5,52,0.0981748,0.194259,0.178638,0.627103,0.647336,0.0072561
1e-05,0.2,0.2,0.5,53,0.0981748,0.597931,0.00783615,0.394233,0.768617,7.96083e-06
1e-05,0.2,0.2,0.5,54,0.0981748,0.597914,0.00783616,0.39425,0.769384,5.62645e-06
1e-05,0.2,0.2,0.5,56,0.0981748,0.741782,6.48224e-06,0.258212,0.00188534,0.55233
1e-05,0.2,0.2,0.5,55,0.0981748,0.742002,6.48224e-06,0.257991,0.00195623,0.552708
1e-05,0.2,0.2,0.5,57,0.0981748,0.00259044,0.551137,0.446273,9.75144e-09,0.56
1e-05,0.2,0.2,0.5,58,0.0981748,0.00259046,0.551137,0.446273,9.06257e-09,0.56
1e-05,0.2,0.2,0.5,59,0.0981748,8.42371e-09,0.56,0.44,5.49116e-16,0.56
1e-05,0.2,0.2,0.5,60,0.0981748,0,0.56,0.44,5.84716e-16,0.56
1e-05,0.2,0.2,0.5,61,0.0981748,4.97971e-16,0.56,0.44,0.632291,0.0011308
1e-05,0.2,0.2,0.5,62,0.0981748,0.0597111,0.00588103,0.934408,0.718842,0.000993803
1e-05,0.2,0.2,0.5,64,0.0981748,0.650974,0.00109327,0.347933,0.683656,2.66415e-06
1e-05,0.2,0.2,0.5,63,0.0981748,0.650882,0.00109327,0.348025,0.751424,1.40826e-06
1e-05,0.2,0.2,0.5,65,0.0981748,0.771985,1.61314e-06,0.228013,0.69682,4.97555e-09
1e-05,0.2,0.2,0.5,66,0.0981748,0.771954,1.61314e-06,0.228044,0.716104,4.44509e-09
1e-05,0.2,0.2,0.5,68,0.0981748,0.705357,4.94996e-09,0.294643,0.676088,3.20855e-09
1e-05,0.2,0.2,0.5,67,0.0981748,0.705454,4.94996e-09,0.294546,0.741881,1.95125e-09
1e-05,0.2,0.2,0.5,70,0.0981748,0.758047,2.23484e-09,0.241953,0.719939,3.57763e-12
1e-05,0.2,0.2,0.5,69,0.0981748,0.75749,2.23484e-09,0.24251,0.755359,2.61444e-12
1e-05,0.2,0.2,0.5,72,0.0981748,0.76922,3.02878e-12,0.23078,0.712198,2.55399e-15
1e-05,0.2,0.2,0.5,71,0.0981748,0.769173,3.02878e-12,0.230827,0.714701,2.44464e-15
1e-05,0.2,0.2,0.5,73,0.0981748,0.705766,2.72957e-15,0.294234,0.680289,2.48454e-18
1e-05,0.2,0.2,0.5,74,0.0981748,0.705834,2.72957e-15,0.294166,0.686366,1.96443e-18
1e-05,0.2,0.2,0.5,76,0.0981748,0.712836,2.19679e-18,0.287164,0.642002,3.12333e-20
1e-05,0.2,0.2,0.5,75,0.0981748,0.712561,2.19679e-18,0.287439,0.664222,2.9721e-20
1e-05,0.2,0.2,0.5,78,0.0981748,0.60845,3.19998e-20,0.39155,0.825606,9.70106e-05
1e-05,0.2,0.2,0.5,77,0.0981748,0.608631,3.19997e-20,0.391369,0.814091,9.31508e-05
1e-05,0.2,0.2,0.5,79,0.0981748,0.835535,0.000111219,0.164353,0.28144,0.0291625
1e-05,0.2,0.2,0.5,80,0.0981748,0.835565,0.000111219,0.164323,0.276576,0.0297811
1e-05,0.2,0.2,0.5,82,0.0981748,0.21835,0.026213,0.755437,0.711305,0.000857049
1e-05,0.2,0.2,0.5,81,0.0981748,0.218735,0.026213,0.755052,0.714545,0.000847598
1e-05,0.2,0.2,0.5,84,0.0981748,0.710441,0.00094434,0.288615,0.645669,7.01639e-06
