dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.6,0.2,0.6,2,0.589049,4.92498e-19,0.56,0.44,8.9748e-18,0.56
1e-05,0.6,0.2,0.6,3,0.589049,0,0.56,0.44,1.08868e-17,0.56
1e-05,0.6,0.2,0.6,1,0.687223,9.16643e-18,0.56,0.44,1.35097e-13,0.56
1e-05,0.6,0.2,0.6,2,0.687223,0,0.56,0.44,1.68234e-13,0.56
1e-05,0.6,0.2,0.6,1,0.785398,0,0.56,0.44,4.30712e-14,0.56
1e-05,0.6,0.2,0.6,3,0.687223,1.22999e-13,0.56,0.44,4.99482e-14,0.56
1e-05,0.6,0.2,0.6,3,0.785398,0,0.56,0.44,0.789733,5.67593e-06
1e-05,0.6,0.2,0.6,2,0.785398,3.64673e-14,0.56,0.44,0.793096,5.44076e-06
1e-05,0.6,0.2,0.6,1,0.883573,0.750263,5.82141e-06,0.249731,0.780725,9.55839e-11
1e-05,0.6,0.2,0.6,2,0.883573,0.749847,5.82141e-06,0.250147,0.814173,4.90903e-11
1e-05,0.6,0.2,0.6,3,0.883573,0.772985,5.20728e-11,0.227015,0.213675,8.75101e-12
1e-05,0.6,0.2,0.6,1,0.981748,0.772791,5.20728e-11,0.227209,0.457281,1.38978e-11
1e-05,0.6,0.2,0.6,2,0.981748,0.491837,1.372e-11,0.508163,0.807299,9.66548e-06
1e-05,0.6,0.2,0.6,3,0.981748,0.490109,1.372e-11,0.509891,0.797362,6.8777e-06
1e-05,0.6,0.2,0.6,1,1.07992,0.789108,7.31341e-06,0.210885,0.898538,5.06034e-05
1e-05,0.6,0.2,0.6,2,1.07992,0.789622,7.31341e-06,0.21037,0.792693,2.46116e-05
1e-05,0.6,0.2,0.6,3,1.07992,0.835673,2.62565e-05,0.164301,0.0624426,9.88281e-05
1e-05,0.6,0.2,0.6,1,1.1781,0.835677,2.62565e-05,0.164297,0.110287,0.000108774
1e-05,0.6,0.2,0.6,2,1.1781,0.0660822,9.90675e-05,0.933819,0.506868,0.0297646
1e-05,0.6,0.2,0.6,3,1.1781,0.0659898,9.90675e-05,0.933911,0.541676,0.0294394
1e-05,0.6,0.2,0.6,1,1.27627,0.491262,0.0295984,0.47914,0.861168,4.17461e-06
1e-05,0.6,0.2,0.6,2,1.27627,0.492461,0.0295984,0.477941,0.680957,3.59678e-06
1e-05,0.6,0.2,0.6,1,1.37445,0.765142,3.75331e-06,0.234854,0.856534,2.11749e-10
1e-05,0.6,0.2,0.6,3,1.27627,0.765352,3.75331e-06,0.234645,0.824007,2.00531e-10
1e-05,0.6,0.2,0.6,3,1.37445,0.869511,2.16e-10,0.130489,0.314926,2.29433e-15
1e-05,0.6,0.2,0.6,2,1.37445,0.869638,2.16e-10,0.130362,0.493856,2.74344e-15
1e-05,0.6,0.2,0.6,2,1.47262,0.498161,2.74009e-15,0.501839,0.801981,6.82238e-20
1e-05,0.6,0.2,0.6,1,1.47262,0.498318,2.74009e-15,0.501682,0.782974,4.49795e-20
1e-05,0.6,0.2,0.6,3,1.47262,0.790273,4.79342e-20,0.209727,0.647198,4.08384e-06
1e-05,0.8,0.2,0.6,1,0.0981748,0.0597111,0.00588103,0.934408,0.523489,3.67072e-06
1e-05,0.8,0.2,0.6,2,0.0981748,0.616401,3.73887e-06,0.383595,0.906389,1.25231e-10
1e-05,0.8,0.2,0.6,3,0.0981748,0.617856,3.73887e-06,0.382141,0.863571,8.68523e-11
1e-05,0.8,0.2,0.6,2,0.19635,0.874677,9.39609e-11,0.125323,0.871683,3.53094e-15
1e-05,0.8,0.2,0.6,1,0.19635,0.874738,9.39609e-11,0.125262,0.885835,1.84636e-15
1e-05,0.8,0.2,0.6,1,0.294524,0.836552,2.00204e-15,0.163448,0.679528,6.8403e-20
1e-05,0.8,0.2,0.6,3,0.19635,0.838222,2.00204e-15,0.161778,0.494423,6.48927e-20
1e-05,0.8,0.2,0.6,2,0.294524,0.488078,6.45677e-20,0.511922,0.773006,7.48281e-18
1e-05,0.8,0.2,0.6,3,0.294524,0.487583,6.45677e-20,0.512417,0.738488,6.6746e-18
1e-05,0.8,0.2,0.6,2,0.392699,0.799204,7.08273e-18,0.200796,0.780332,4.86016e-20
1e-05,0.8,0.2,0.6,1,0.392699,0.800131,7.08273e-18,0.199869,0.837097,2.9999e-20
1e-05,0.8,0.2,0.6,3,0.392699,0.853861,3.24514e-20,0.146139,0.913701,9.07273e-25
1e-05,0.8,0.2,0.6,1,0.490874,0.853831,3.24514e-20,0.146169,0.659761,5.55119e-25
1e-05,0.8,0.2,0.6,3,0.490874,0.549927,5.66839e-25,0.450073,0.607786,1.41969e-24
1e-05,0.8,0.2,0.6,2,0.490874,0.551445,5.66839e-25,0.448555,0.204784,1.76971e-24
1e-05,0.8,0.2,0.6,1,0.589049,0.293169,1.68244e-24,0.706831,0.913554,2.45982e-28
1e-05,0.8,0.2,0.6,2,0.589049,0.293225,1.68244e-24,0.706775,0.891668,1.88579e-28
1e-05,0.8,0.2,0.6,3,0.589049,0.903553,2.05808e-28,0.0964473,0.680324,1.71286e-31
1e-05,0.8,0.2,0.6,1,0.687223,0.903562,2.05808e-28,0.0964375,0.615667,6.26552e-32
1e-05,0.8,0.2,0.6,3,0.687223,0.509555,6.31403e-32,0.490445,0.86044,2.06312e-35
1e-05,0.8,0.2,0.6,2,0.687223,0.50973,6.31403e-32,0.49027,0.77963,1.4962e-35
1e-05,0.8,0.2,0.6,1,0.785398,0.741716,1.58858e-35,0.258284,0.184703,2.36377e-38
1e-05,0.8,0.2,0.6,2,0.785398,0.741426,1.58858e-35,0.258574,0.0792971,4.11718e-38
1e-05,0.8,0.2,0.6,1,0.883573,0.07829,3.74282e-38,0.92171,0.659692,2.46788e-33
1e-05,0.8,0.2,0.6,3,0.785398,0.0784166,3.74282e-38,0.921583,0.631194,2.3733e-33
1e-05,0.8,0.2,0.6,3,0.883573,0.602079,2.431e-33,0.397921,0.793575,9.95191e-35
1e-05,0.8,0.2,0.6,2,0.883573,0.60154,2.431e-33,0.39846,0.808655,8.51465e-35
1e-05,0.8,0.2,0.6,1,0.981748,0.814285,9.11912e-35,0.185715,0.831662,4.45219e-36
1e-05,0.8,0.2,0.6,2,0.981748,0.814931,9.11912e-35,0.185069,0.839202,3.11358e-36
1e-05,0.8,0.2,0.6,3,0.981748,0.846327,3.35761e-36,0.153673,0.727002,1.12348e-39
1e-05,0.8,0.2,0.6,1,1.07992,0.846177,3.35761e-36,0.153823,0.652702,8.56054e-40
1e-05,0.8,0.2,0.6,2,1.07992,0.665136,8.96132e-40,0.334864,0.847994,4.20643e-43
1e-05,0.8,0.2,0.6,3,1.07992,0.665791,8.96132e-40,0.334209,0.689312,2.1649e-43
1e-05,0.8,0.2,0.6,2,1.1781,0.717671,2.27698e-43,0.282329,1.22321e-16,0.559998
1e-05,0.8,0.2,0.6,1,1.1781,0.717562,2.27698e-43,0.282438,1.19774e-16,0.559998
1e-05,0.8,0.2,0.6,1,1.27627,0,0.559998,0.440002,2.21447e-13,0.56
1e-05,0.8,0.2,0.6,3,1.1781,1.24305e-16,0.559998,0.440002,1.02573e-13,0.56
1e-05,0.8,0.2,0.6,2,1.27627,1.05945e-13,0.56,0.44,4.8428e-10,0.56
1e-05,0.8,0.2,0.6,3,1.27627,0,0.56,0.44,8.81383e-10,0.56
1e-05,0.8,0.2,0.6,2,1.37445,0,0.56,0.44,5.82703e-32,0.56
1e-05,0.8,0.2,0.6,1,1.37445,6.44056e-10,0.56,0.44,0,0.56
1e-05,0.8,0.2,0.6,1,1.47262,0,0.56,0.44,2.0248e-16,0.56
1e-05,0.8,0.2,0.6,3,1.37445,0,0.56,0.44,4.20313e-17,0.56
1e-05,0.8,0.2,0.6,3,1.47262,0.00588103,0.0597111,0.934408,1.04929e-09,0.56
1e-05,0.8,0.2,0.6,2,1.47262,6.7914e-17,0.56,0.44,1.99792e-09,0.56
1e-05,1,0.2,0.6,1,0.0981748,1.43148e-09,0.56,0.44,1.60885e-27,0.56
1e-05,1,0.2,0.6,2,0.0981748,0,0.56,0.44,1.87694e-27,0.56
1e-05,1,0.2,0.6,1,0.19635,0,0.56,0.44,1.48469e-67,0.56
1e-05,1,0.2,0.6,3,0.0981748,1.32e-27,0.56,0.44,1.52862e-67,0.56
1e-05,1,0.2,0.6,3,0.19635,0,0.56,0.44,6.28749e-15,0.56
1e-05,1,0.2,0.6,2,0.19635,1.32611e-67,0.56,0.44,7.91207e-15,0.56
1e-05,1,0.2,0.6,1,0.294524,7.14259e-15,0.56,0.44,0.746198,2.35938e-07
1e-05,1,0.2,0.6,2,0.294524,0,0.56,0.44,0.89463,1.71155e-07
1e-05,1,0.2,0.6,3,0.294524,0.825698,1.84346e-07,0.174302,0.921717,0.000299623
1e-05,1,0.2,0.6,1,0.392699,0.826236,1.84346e-07,0.173763,0.947563,0.000236245
1e-05,1,0.2,0.6,2,0.392699,0.947363,0.000259768,0.0523767,1.45719e-25,0.558619
1e-05,1,0.2,0.6,3,0.392699,0.94753,0.000259768,0.0522107,1.11253e-25,0.559062
1e-05,1,0.2,0.6,1,0.490874,2.1911e-25,0.558951,0.441049,0,0.56
1e-05,1,0.2,0.6,2,0.490874,0,0.558951,0.441049,0,0.56
1e-05,1,0.2,0.6,3,0.490874,0,0.56,0.44,5.85211e-32,0.56
1e-05,1,0.2,0.6,1,0.589049,0,0.56,0.44,4.72993e-32,0.56
1e-05,1,0.2,0.6,2,0.589049,5.28379e-32,0.56,0.44,4.05614e-33,0.56
1e-05,1,0.2,0.6,3,0.589049,0,0.56,0.44,3.22595e-33,0.56
1e-05,1,0.2,0.6,1,0.687223,2.47003e-33,0.56,0.44,1.32817e-19,0.56
1e-05,1,0.2,0.6,2,0.687223,0,0.56,0.44,7.39011e-20,0.56
1e-05,1,0.2,0.6,3,0.687223,5.7483e-20,0.56,0.44,5.54423e-25,0.56
1e-05,1,0.2,0.6,1,0.785398,0,0.56,0.44,7.33773e-25,0.56
1e-05,1,0.2,0.6,3,0.785398,0,0.56,0.44,0,0.56
1e-05,1,0.2,0.6,2,0.785398,6.32813e-25,0.56,0.44,0,0.56
