dt,alpha,beta,xTrue,xEuler,xMilstein,ErrorEuler,ErrorMilstein
0.002900,-2.000000,0.250000,0.165562,0.164927,0.164766,0.000636,0.000797
0.003000,-2.000000,0.250000,0.175161,0.175197,0.174354,0.000036,0.000807
0.003100,-2.000000,0.250000,0.118643,0.118105,0.117787,0.000538,0.000856
0.003200,-2.000000,0.250000,0.077845,0.076912,0.077059,0.000933,0.000787
0.003300,-2.000000,0.250000,0.149043,0.148119,0.148131,0.000925,0.000913
0.003400,-2.000000,0.250000,0.127516,0.126826,0.126570,0.000690,0.000946
0.003500,-2.000000,0.250000,0.098635,0.097255,0.097704,0.001379,0.000930
0.003600,-2.000000,0.250000,0.111186,0.110237,0.110199,0.000949,0.000987
0.003700,-2.000000,0.250000,0.098892,0.097761,0.097905,0.001131,0.000986
0.003800,-2.000000,0.250000,0.090860,0.089861,0.089868,0.000999,0.000993
0.003900,-2.000000,0.250000,0.141230,0.140383,0.140144,0.000848,0.001087
0.004000,-2.000000,0.250000,0.105839,0.104538,0.104756,0.001301,0.001083
0.004100,-2.000000,0.250000,0.137936,0.136587,0.136781,0.001349,0.001155
0.004200,-2.000000,0.250000,0.140033,0.138961,0.138857,0.001072,0.001177
0.004300,-2.000000,0.250000,0.121579,0.120233,0.120382,0.001346,0.001198
0.004400,-2.000000,0.250000,0.119879,0.118592,0.118658,0.001287,0.001222
0.004500,-2.000000,0.250000,0.155966,0.155298,0.154726,0.000668,0.001240
0.004600,-2.000000,0.250000,0.167012,0.165881,0.165756,0.001132,0.001257
0.004700,-2.000000,0.250000,0.130268,0.129463,0.128965,0.000806,0.001303
0.004800,-2.000000,0.250000,0.130910,0.129387,0.129566,0.001523,0.001344
0.004900,-2.000000,0.250000,0.122373,0.121200,0.121011,0.001172,0.001362
0.005000,-2.000000,0.250000,0.106599,0.105165,0.105238,0.001434,0.001362
0.005100,-2.000000,0.250000,0.145904,0.144673,0.144476,0.001231,0.001427
0.005200,-2.000000,0.250000,0.130440,0.129443,0.128990,0.000997,0.001449
0.005300,-2.000000,0.250000,0.211886,0.210098,0.210551,0.001788,0.001335
0.005400,-2.000000,0.250000,0.175860,0.173911,0.174379,0.001949,0.001481
0.005500,-2.000000,0.250000,0.114687,0.112753,0.113165,0.001934,0.001521
0.005600,-2.000000,0.250000,0.105796,0.104668,0.104278,0.001127,0.001517
0.005700,-2.000000,0.250000,0.138019,0.135737,0.136404,0.002282,0.001615
0.005800,-2.000000,0.250000,0.109658,0.107939,0.108069,0.001720,0.001589
0.005900,-2.000000,0.250000,0.165387,0.163227,0.163748,0.002160,0.001640
0.006000,-2.000000,0.250000,0.116421,0.114640,0.114754,0.001781,0.001667
0.006100,-2.000000,0.250000,0.119717,0.117985,0.118025,0.001732,0.001693
0.006200,-2.000000,0.250000,0.123745,0.122376,0.122025,0.001369,0.001721
0.006300,-2.000000,0.250000,0.089937,0.088585,0.088299,0.001352,0.001638
0.006400,-2.000000,0.250000,0.098170,0.096811,0.096469,0.001359,0.001702
0.006500,-2.000000,0.250000,0.195780,0.194054,0.194075,0.001725,0.001705
0.006600,-2.000000,0.250000,0.199978,0.198960,0.198288,0.001018,0.001689
0.006700,-2.000000,0.250000,0.102672,0.100568,0.100862,0.002104,0.001810
0.006800,-2.000000,0.250000,0.126644,0.124423,0.124744,0.002221,0.001900
0.006900,-2.000000,0.250000,0.125438,0.123890,0.123508,0.001549,0.001930
0.007000,-2.000000,0.250000,0.111499,0.109784,0.109573,0.001715,0.001927
0.007100,-2.000000,0.250000,0.157358,0.154947,0.155379,0.002411,0.001978
0.007200,-2.000000,0.250000,0.129445,0.127334,0.127424,0.002111,0.002021
0.007300,-2.000000,0.250000,0.131334,0.128811,0.129275,0.002523,0.002058
0.007400,-2.000000,0.250000,0.150860,0.148321,0.148793,0.002539,0.002067
0.007500,-2.000000,0.250000,0.144527,0.142638,0.142420,0.001888,0.002106
0.007600,-2.000000,0.250000,0.132524,0.130742,0.130381,0.001782,0.002143
0.007700,-2.000000,0.250000,0.137012,0.134080,0.134852,0.002932,0.002160
